IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,GEO,Georgia,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,20.66,,,16.28,,26.59,20.66 [16.28 – 26.59],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,POL,Poland,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,22.51,,,21.99,,23.05,22.51 [21.99 – 23.05],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,TUR,Türkiye,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,23.29,,,21.86,,24.6,23.29 [21.86 – 24.6],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,MNE,Montenegro,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,23.35,,,20.79,,26.94,23.35 [20.79 – 26.94],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SRB,Serbia,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,25.86,,,23.85,,27.56,25.86 [23.85 – 27.56],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,AZE,Azerbaijan,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,26.96,,,15.44,,42.17,26.96 [15.44 – 42.17],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,KAZ,Kazakhstan,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,28.46,,,20.99,,37.13,28.46 [20.99 – 37.13],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,TKM,Turkmenistan,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,29.17,,,18.37,,41.59,29.17 [18.37 – 41.59],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,MKD,The former Yugoslav Republic of Macedonia,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,30.06,,,28.14,,32.72,30.06 [28.14 – 32.72],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,32.02,,,29.54,,35.04,32.02 [29.54 – 35.04],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ARM,Armenia,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,37.09,,,28.54,,51.35,37.09 [28.54 – 51.35],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,41.00,,,27.63,,57.54,41 [27.63 – 57.54],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,UZB,Uzbekistan,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,44.62,,,32.57,,63.5,44.62 [32.57 – 63.5],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,FIN,Finland,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,5.57,,,5.25,,5.89,5.57 [5.25 – 5.89],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ISL,Iceland,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,5.89,,,5.2,,6.56,5.89 [5.2 – 6.56],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,TJK,Tajikistan,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,58.58,,,38.93,,82.46,58.58 [38.93 – 82.46],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SWE,Sweden,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,6.09,,,5.82,,6.37,6.09 [5.82 – 6.37],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,NOR,Norway,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,6.33,,,5.98,,6.66,6.33 [5.98 – 6.66],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,EST,Estonia,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,6.70,,,6.14,,7.43,6.7 [6.14 – 7.43],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,PRT,Portugal,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,7.90,,,7.61,,8.15,7.9 [7.61 – 8.15],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,IRL,Ireland,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,8.31,,,7.76,,8.77,8.31 [7.76 – 8.77],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,AND,Andorra,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,9.21,,,8.08,,10.85,9.21 [8.08 – 10.85],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,RUS,Russian Federation,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,9.22,,,7.62,,11.25,9.22 [7.62 – 11.25],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LUX,Luxembourg,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,9.71,,,9.17,,10.26,9.71 [9.17 – 10.26],,,EN,2022-08-12 00:00:00
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,MCO,Monaco,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,9.88,,,8.82,,10.96,9.88 [8.82 – 10.96],,,EN,2022-08-12 00:00:00
