Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
Sweden,4097,0,1,0,0,0,3,10,10,15,45,90,184,304,619,868,1074,588,286
Faroe Islands,19,0,0,0,0,0,0,0,0,0,2,1,0,1,1,6,2,3,3
Finland,2857,0,0,0,0,1,3,1,10,9,29,65,141,275,451,698,552,363,259
NORDCAN countries excl. Faroe Islands and Greenland,15863,1,1,0,0,3,9,23,42,58,160,378,879,1540,2549,3422,3505,2030,1263
NORDCAN countries,15926,1,1,0,0,3,9,23,42,59,162,382,885,1554,2557,3436,3510,2035,1267
Iceland,164,0,0,0,0,0,1,0,1,3,2,2,11,21,27,43,25,13,15
Norway,3544,1,0,0,0,1,1,7,10,16,35,86,204,378,564,724,726,452,339
Denmark,5201,0,0,0,0,1,1,5,11,15,49,135,339,562,888,1089,1128,614,364
Greenland,44,0,0,0,0,0,0,0,0,1,0,3,6,13,7,8,3,2,1
